"";"Jahr";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"49";2025;"Summe";"Summe";"<=1955";"11052565";"111494";"3646533";"2725307";"498131";"763557";"868673";"491079";"1274145";"673646";"0";"120516";"0";"434947"
"50";2025;"Summe";"m";"Summe";"24338753";"120085";"5523667";"3606998";"1766093";"2585524";"1459520";"1169566";"6091800";"2015498";"0";"339527";"0";"1042821"
"51";2025;"Summe";"m";"2001-2007";"1694516";"7418";"201243";"188599";"298402";"186249";"60129";"125077";"425572";"201828";"0";"23715";"0";"89303"
"52";2025;"Summe";"m";"1991-2000";"3114025";"9915";"405381";"315740";"435316";"458329";"125397";"197680";"787341";"378927";"0";"55866";"0";"152428"
"53";2025;"Summe";"m";"1981-1990";"3772675";"13145";"672265";"370318";"287621";"500885";"192357";"169755";"1197479";"368850";"0";"61182";"0";"166531"
"54";2025;"Summe";"m";"1966-1980";"6006662";"20916";"1401463";"731292";"293219";"658826";"366211";"249756";"1823296";"461682";"0";"89231";"0";"240779"
"55";2025;"Summe";"m";"1956-1965";"4806281";"25100";"1221841";"849447";"228943";"466239";"323198";"186141";"1179600";"325773";"0";"63065";"0";"199017"
"56";2025;"Summe";"m";"<=1955";"4944593";"43592";"1621474";"1151602";"222592";"314996";"392229";"241157";"678514";"278438";"0";"46469";"0";"194762"
"57";2025;"Summe";"w";"Summe";"25589900";"159056";"5672707";"4542126";"2590439";"3176856";"1504508";"979191";"4236980";"2728039";"0";"429752";"0";"1430126"
"58";2025;"Summe";"w";"2001-2007";"1669170";"5525";"132879";"188817";"618595";"205217";"41104";"62731";"211983";"202318";"0";"20061";"0";"99885"
"59";2025;"Summe";"w";"1991-2000";"3078837";"8269";"349238";"369035";"646476";"528197";"117478";"122094";"489804";"448245";"0";"59625";"0";"197031"
"60";2025;"Summe";"w";"1981-1990";"3720645";"15606";"643444";"465401";"365882";"586095";"185859";"134849";"814801";"508708";"0";"73545";"0";"249116"
"61";2025;"Summe";"w";"1966-1980";"6040799";"30708";"1325412";"913869";"417955";"810856";"357834";"233919";"1258031";"692216";"0";"117928";"0";"362260"
"62";2025;"Summe";"w";"1956-1965";"4972478";"31045";"1196675";"1031298";"265991";"597928";"325789";"175677";"866730";"481345";"0";"84545";"0";"281649"
"63";2025;"Summe";"w";"<=1955";"6107972";"67903";"2025059";"1573705";"275539";"448562";"476444";"249922";"595631";"395207";"0";"74048";"0";"240186"
"64";2017;"Urne";"Summe";"Summe";"33545873";"387566";"8715680";"6947478";"3222591";"2888879";"1740297";"3401498";"4597499";"1644385";"141813";"300635";"0";"0"
"65";2017;"Urne";"Summe";"1993 - 1999";"2515272";"20026";"484280";"483808";"270725";"346432";"107579";"323313";"219734";"259376";"13738";"22407";"0";"0"
"66";2017;"Urne";"Summe";"1983 - 1992";"4366135";"32518";"909536";"772696";"494039";"434730";"194410";"467323";"634077";"426805";"40830";"54951";"0";"0"
"67";2017;"Urne";"Summe";"1973 - 1982";"4800642";"36006";"1164856";"772800";"447817";"494349";"244556";"519352";"798852";"322054";"34653";"57524";"0";"0"
"68";2017;"Urne";"Summe";"1958 - 1972";"10293502";"87402";"2495036";"2090739";"988129";"1038374";"499279";"1008910";"1647125";"438507";"35933";"103007";"0";"0"
"69";2017;"Urne";"Summe";"1948 - 1957";"5272197";"66657";"1401919";"1230650";"579429";"342434";"275708";"500759";"750671";"123971";"11312";"38092";"0";"0"
"70";2017;"Urne";"Summe";"1947 und früher";"6298125";"144957";"2260054";"1596785";"442452";"232560";"418765";"581841";"547039";"73672";"5347";"24653";"0";"0"
"71";2017;"Brief";"Summe";"Summe";"13430468";"73283";"3731976";"2591903";"1074679";"1269521";"1129391";"1597951";"1280616";"681148";"34252";"163605";"0";"0"
"72";2017;"Brief";"Summe";"1993 - 1999";"837909";"4260";"179303";"128477";"75690";"140885";"63338";"115747";"45734";"84474";"2911";"10911";"0";"0"
"73";2017;"Brief";"Summe";"1983 - 1992";"1627481";"6625";"365804";"243616";"152249";"223116";"131917";"210912";"132642";"160600";"8483";"28330";"0";"0"
"74";2017;"Brief";"Summe";"1973 - 1982";"1401657";"5985";"351981";"190546";"109573";"180869";"118723";"182100";"151450";"110431";"7512";"23331";"0";"0"
"75";2017;"Brief";"Summe";"1958 - 1972";"3637102";"16440";"937461";"657423";"292223";"412804";"271649";"414977";"442222";"191902";"10192";"54567";"0";"0"
"76";2017;"Brief";"Summe";"1948 - 1957";"2446636";"14569";"670486";"547949";"227215";"180714";"186431";"287200";"256832";"75241";"2399";"25393";"0";"0"
"77";2017;"Brief";"Summe";"1947 und früher";"3479682";"25405";"1226941";"823891";"217730";"131132";"357332";"387015";"251736";"58500";"2755";"21072";"0";"0"
"78";2021;"Urne";"Summe";"Summe";"24708172";"292349";"4637821";"6256699";"1283006";"3176179";"863042";"2785354";"3320958";"2092764";"0";"449333";"375325";"0"
"79";2021;"Urne";"Summe";"1997 - 2003";"2022417";"12941";"163220";"321237";"172227";"421259";"31802";"433802";"161211";"304719";"0";"37046";"23415";"0"
"80";2021;"Urne";"Summe";"1987 - 1996";"3101269";"22945";"333552";"547117";"212857";"573867";"65551";"460997";"425786";"458595";"0";"74514";"57178";"0"
"81";2021;"Urne";"Summe";"1977 - 1986";"3717912";"29294";"557108";"714816";"184794";"581336";"107766";"447089";"666437";"429273";"0";"92392";"86808";"0"
"82";2021;"Urne";"Summe";"1962 - 1976";"7003265";"59686";"1271938";"1762307";"307430";"930508";"242324";"755146";"1116097";"557829";"0";"139982";"132006";"0"
"83";2021;"Urne";"Summe";"1952 - 1961";"4232095";"57157";"892300";"1317657";"215379";"410826";"165160";"356312";"600873";"216431";"0";"65475";"52031";"0"
"84";2021;"Urne";"Summe";"1951 und früher";"4631214";"110326";"1419705";"1593565";"190318";"258383";"250440";"332008";"350554";"125916";"0";"39923";"23886";"0"
"85";2021;"Brief";"Summe";"Summe";"22146336";"120136";"4137650";"5698735";"987900";"3676027";"1539785";"2534598";"1482944";"1968561";"0";"678451";"254828";"0"
"86";2021;"Brief";"Summe";"1997 - 2003";"1514600";"6020";"127482";"228604";"101803";"422184";"57645";"287291";"62163";"221408";"0";"48924";"15684";"0"
"87";2021;"Brief";"Summe";"1987 - 1996";"2945447";"11877";"281955";"495499";"190867";"810654";"132518";"434272";"172602";"415203";"0";"113270";"36040";"0"
"88";2021;"Brief";"Summe";"1977 - 1986";"2735071";"12058";"372812";"520682";"124368";"610347";"161234";"351003";"236460";"346107";"0";"114948";"46746";"0"
"89";2021;"Brief";"Summe";"1962 - 1976";"5581622";"26760";"988397";"1419502";"205622";"893597";"370673";"655302";"487616";"534153";"0";"204809";"89188";"0"
"90";2021;"Brief";"Summe";"1952 - 1961";"4211264";"22467";"820135";"1331002";"187518";"569373";"327000";"395393";"293983";"264392";"0";"113494";"43506";"0"
"91";2021;"Brief";"Summe";"1951 und früher";"5158333";"40954";"1546870";"1703445";"177722";"369872";"490714";"411337";"230120";"187299";"0";"83005";"23665";"0"
