"";"Jahr";"WKR_NR";"WKR_NAME";"LAND_NR";"LAND_NAME";"Wahlbezirksart";"Wahlkreisname";"Wähler";"Ungültige";"CDU";"CSU";"SPD";"LINKE";"GRÜNE";"FDP";"AFD";"meistgewählt";"pct";"geometry";"ref_value";"winner_abzz";"Land";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"AfD";"DIE LINKE";"Sonstige";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"72";2017;"0";"0";"0";0;0;0;0;0;571339;0;349428;0;35033;129268;0;0;0;0;0;0;0;0;0;1195477;20891;44896;36351;8271;1330;0;0
"73";2017;"0";"0";"0";0;0;0;0;0;26626;0;25853;0;16518;20746;0;0;0;0;0;0;0;0;0;129588;1456;11130;14579;12679;973;0;0
"74";2017;"0";"0";"0";0;0;0;0;0;45565;0;39234;0;19608;30687;0;0;0;0;0;0;0;0;0;208464;2014;30874;21666;18815;1947;0;0
"75";2017;"0";"0";"0";0;0;0;0;0;55387;0;35880;0;19279;27911;0;0;0;0;0;0;0;0;0;212563;2075;38909;18803;14319;2636;0;0
"76";2017;"0";"0";"0";0;0;0;0;0;127305;0;116167;0;48316;59947;0;0;0;0;0;0;0;0;0;508421;4642;90047;44230;17767;4368;0;0
"77";2017;"0";"0";"0";0;0;0;0;0;68878;0;74644;0;18855;32052;0;0;0;0;0;0;0;0;0;273279;3100;43948;26533;5269;1704;0;0
"78";2017;"0";"0";"0";0;0;0;0;0;117139;0;89566;0;9941;38518;0;0;0;0;0;0;0;0;0;312855;5858;35632;14003;2198;651;0;0
"79";2017;"0";"0";"0";0;0;0;0;0;31342;0;26672;0;23881;12043;0;0;0;0;0;0;0;0;0;127481;1285;7190;13090;11977;947;0;0
"80";2017;"0";"0";"0";0;0;0;0;0;60054;0;41874;0;28069;18594;0;0;0;0;0;0;0;0;0;207590;2589;17534;21263;17613;3230;0;0
"81";2017;"0";"0";"0";0;0;0;0;0;70000;0;42921;0;29070;21843;0;0;0;0;0;0;0;0;0;220497;2852;23388;17714;12709;3081;0;0
"82";2017;"0";"0";"0";0;0;0;0;0;158927;0;113091;0;70352;51517;0;0;0;0;0;0;0;0;0;518856;6671;51471;44609;22217;5062;0;0
"83";2017;"0";"0";"0";0;0;0;0;0;96473;0;75735;0;24388;30193;0;0;0;0;0;0;0;0;0;287806;5068;25728;23176;7044;2445;0;0
"84";2017;"0";"0";"0";0;0;0;0;0;175505;0;106790;0;15457;42691;0;0;0;0;0;0;0;0;0;388042;8931;22861;11490;4318;1462;0;0
"85";2017;"0";"0";"0";0;0;0;0;0;24119;0;20900;0;10516;16202;0;0;0;0;0;0;0;0;0;96542;825;8735;8698;6548;1209;0;0
"86";2017;"0";"0";"0";0;0;0;0;0;36246;0;27912;0;10692;21031;0;0;0;0;0;0;0;0;0;142427;1451;21722;12952;10420;2786;0;0
"87";2017;"0";"0";"0";0;0;0;0;0;44831;0;27684;0;10544;18922;0;0;0;0;0;0;0;0;0;150437;1414;27714;10074;9254;2777;0;0
"88";2017;"0";"0";"0";0;0;0;0;0;106614;0;85366;0;27953;37410;0;0;0;0;0;0;0;0;0;364539;3040;59846;29708;14602;5658;0;0
"89";2017;"0";"0";"0";0;0;0;0;0;66479;0;59126;0;10381;20368;0;0;0;0;0;0;0;0;0;209253;2454;29135;16278;5033;1828;0;0
"90";2017;"0";"0";"0";0;0;0;0;0;90696;0;63412;0;4738;19857;0;0;0;0;0;0;0;0;0;214673;4214;20710;8524;2522;1051;0;0
"91";2017;"0";"0";"0";0;0;0;0;0;27400;0;19197;0;15902;8521;0;0;0;0;0;0;0;0;0;90009;987;4858;8022;5122;1312;0;0
"92";2017;"0";"0";"0";0;0;0;0;0;50525;0;27228;0;16206;13754;0;0;0;0;0;0;0;0;0;143471;1612;13447;11889;8810;2681;0;0
"93";2017;"0";"0";"0";0;0;0;0;0;58631;0;30614;0;15068;15666;0;0;0;0;0;0;0;0;0;156605;1653;16143;11047;7783;2529;0;0
"94";2017;"0";"0";"0";0;0;0;0;0;126937;0;79989;0;37935;33910;0;0;0;0;0;0;0;0;0;357946;3638;35192;25898;14447;7138;0;0
"95";2017;"0";"0";"0";0;0;0;0;0;84216;0;55952;0;11997;19291;0;0;0;0;0;0;0;0;0;209134;2869;17573;12132;5103;2569;0;0
"96";2017;"0";"0";"0";0;0;0;0;0;131311;0;73140;0;7301;20304;0;0;0;0;0;0;0;0;0;257058;5431;10612;5688;3271;1553;0;0
"97";2017;"0";"0";"0";0;0;0;0;0;58152;0;38257;0;34681;47022;0;0;0;0;0;0;0;0;0;248017;1685;24692;20517;23011;1513;0;0
"98";2017;"0";"0";"0";0;0;0;0;0;110131;0;57163;0;47527;67499;0;0;0;0;0;0;0;0;0;421270;1776;62183;38613;36378;4367;0;0
"99";2017;"0";"0";"0";0;0;0;0;0;115036;0;47737;0;50635;59290;0;0;0;0;0;0;0;0;0;404698;2774;76218;28873;24135;4111;0;0
"100";2017;"0";"0";"0";0;0;0;0;0;258954;0;144917;0;123218;112458;0;0;0;0;0;0;0;0;0;906292;6294;167403;61875;31172;7189;0;0
"101";2017;"0";"0";"0";0;0;0;0;0;135918;0;92166;0;48152;59451;0;0;0;0;0;0;0;0;0;456239;5440;74409;33876;6826;1822;0;0
"102";2017;"0";"0";"0";0;0;0;0;0;215816;0;109150;0;35569;75959;0;0;0;0;0;0;0;0;0;529753;9234;59738;20242;4044;770;0;0
