"";"Jahr";"Land";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"86";2021;"Bund";"Urne";"Summe";"1997 - 2003";"2022417";"12941";"163220";"321237";"172227";"421259";"31802";"433802";"161211";"304719";NA;"37046";"23415";NA
"87";2021;"Bund";"Urne";"Summe";"1987 - 1996";"3101269";"22945";"333552";"547117";"212857";"573867";"65551";"460997";"425786";"458595";NA;"74514";"57178";NA
"88";2021;"Bund";"Urne";"Summe";"1977 - 1986";"3717912";"29294";"557108";"714816";"184794";"581336";"107766";"447089";"666437";"429273";NA;"92392";"86808";NA
"89";2021;"Bund";"Urne";"Summe";"1962 - 1976";"7003265";"59686";"1271938";"1762307";"307430";"930508";"242324";"755146";"1116097";"557829";NA;"139982";"132006";NA
"90";2021;"Bund";"Urne";"Summe";"1952 - 1961";"4232095";"57157";"892300";"1317657";"215379";"410826";"165160";"356312";"600873";"216431";NA;"65475";"52031";NA
"91";2021;"Bund";"Urne";"Summe";"1951 und früher";"4631214";"110326";"1419705";"1593565";"190318";"258383";"250440";"332008";"350554";"125916";NA;"39923";"23886";NA
"92";2021;"Bund";"Urne";"m";"Summe";"12589715";"122722";"2274633";"3016488";"672823";"1481607";"447998";"1556086";"2058074";"959283";NA;"217605";"152896";NA
"93";2021;"Bund";"Urne";"m";"1997 - 2003";"1091012";"5773";"86719";"160787";"79475";"196099";"19133";"287494";"100397";"155135";NA;"21066";"11318";NA
"94";2021;"Bund";"Urne";"m";"1987 - 1996";"1642389";"10909";"170023";"264410";"119158";"273654";"35885";"281473";"258747";"228130";NA;"38634";"24944";NA
"95";2021;"Bund";"Urne";"m";"1977 - 1986";"1891787";"13179";"273499";"331007";"99521";"264351";"55010";"244319";"411623";"199278";NA;"43841";"35999";NA
"96";2021;"Bund";"Urne";"m";"1962 - 1976";"3645417";"26089";"670927";"866504";"160320";"432929";"132858";"403575";"709978";"242237";NA;"67597";"53584";NA
"97";2021;"Bund";"Urne";"m";"1952 - 1961";"2150917";"25016";"436891";"654981";"114702";"199728";"83040";"182437";"365255";"88867";NA;"30711";"19358";NA
"98";2021;"Bund";"Urne";"m";"1951 und früher";"2168193";"41755";"636574";"738799";"99647";"114846";"122071";"156789";"212075";"45636";NA;"15756";"7692";NA
"99";2021;"Bund";"Urne";"w";"Summe";"12118457";"169627";"2363188";"3240211";"610183";"1694572";"415044";"1229268";"1262884";"1133481";NA;"231728";"222429";NA
