"";"Jahr";"Land";"Geschlecht";"Geburtsjahresgruppe";"sum(Summe)";"sum(Ungültig)";"CDU_CSU";"sum(SPD)";"sum(`DIE LINKE`)";"sum(GRÜNE)";"sum(FDP)";"sum(AfD)";"sum(Sonstige)"
"205";2017;"Schleswig-Holstein";"m";"1947 und früher";178142;2190;72054;47867;7691;9132;25409;13159;640
"206";2017;"Schleswig-Holstein";"m";"1948 - 1957";141500;866;39885;40177;14150;13711;17729;13932;1049
"207";2017;"Schleswig-Holstein";"m";"1958 - 1972";254488;1191;74056;58646;18492;30554;33660;32568;5320
"208";2017;"Schleswig-Holstein";"m";"1973 - 1982";106276;604;30915;19039;9598;10707;15017;15710;4685
"209";2017;"Schleswig-Holstein";"m";"1983 - 1992";93339;500;23516;17857;9502;10695;12693;11392;7184
"210";2017;"Schleswig-Holstein";"m";"1993 - 1999";61452;218;14772;12158;5824;8011;11296;3938;5234
"211";2017;"Schleswig-Holstein";"w";"1947 und früher";200477;2947;93700;51336;6231;13460;24803;7144;855
"212";2017;"Schleswig-Holstein";"w";"1948 - 1957";151849;1566;53847;38619;10095;19539;17477;8910;1796
"213";2017;"Schleswig-Holstein";"w";"1958 - 1972";268757;1720;89830;58323;19155;45185;30267;17919;6359
"214";2017;"Schleswig-Holstein";"w";"1973 - 1982";117259;729;43201;22566;9702;16443;12534;7293;4792
"215";2017;"Schleswig-Holstein";"w";"1983 - 1992";94810;595;29903;20578;9231;14978;8967;6138;4420
"216";2017;"Schleswig-Holstein";"w";"1993 - 1999";60845;426;17455;12341;5006;13054;6992;2259;3312
"217";2017;"Thüringen";"m";"1947 und früher";123639;2284;37907;23650;27801;2044;6725;21164;2063
"218";2017;"Thüringen";"m";"1948 - 1957";123356;1345;31385;16731;25627;2995;8342;33268;3663
"219";2017;"Thüringen";"m";"1958 - 1972";189542;1314;43254;19621;27742;7042;16109;64018;10443
"220";2017;"Thüringen";"m";"1973 - 1982";91912;521;20123;8279;10231;3510;8642;32095;8511
"221";2017;"Thüringen";"m";"1983 - 1992";80380;889;15828;8861;10457;3521;6255;23789;10781
"222";2017;"Thüringen";"m";"1993 - 1999";30951;269;4952;4253;4655;2031;3668;6217;4906
"223";2017;"Thüringen";"w";"1947 und früher";164185;4946;67177;27287;30380;3987;9386;17404;3618
"224";2017;"Thüringen";"w";"1948 - 1957";129284;2020;42762;18471;25465;4517;9941;20425;5683
"225";2017;"Thüringen";"w";"1958 - 1972";187117;2022;57432;21226;30720;9180;15881;37905;12751
"226";2017;"Thüringen";"w";"1973 - 1982";86471;984;25602;9245;10713;5656;7782;18875;7614
"227";2017;"Thüringen";"w";"1983 - 1992";76298;671;19228;9971;10513;4907;6088;15162;9760
"228";2017;"Thüringen";"w";"1993 - 1999";28915;338;6609;3439;3907;3950;2310;3746;4614
